Time,NetEnergy,DiffEnergy
0.127536,114.928,0.0662599
0.127732,115.013,0.0847587
0.12775,115.026,0.012401
0.12775,115.026,1.2945e-06
0.127768,115.092,0.0662636
0.127768,115.092,8.63e-07
0.127821,115.291,0.198795
0.127821,115.291,8.63e-07
0.127875,115.489,0.198795
0.127875,115.489,8.63e-07
0.127911,115.622,0.132527
0.127911,115.622,8.63e-07
0.127946,115.754,0.132527
0.127982,115.77,0.015411
0.128,115.782,0.012401
0.128,115.782,1.2945e-06
0.128018,115.849,0.0662636
0.128232,115.941,0.092464
0.12825,115.953,0.012401
0.12825,115.953,1.2945e-06
0.128268,116.02,0.0662636
0.128268,116.02,8.63e-07
0.128304,116.152,0.132527
0.128304,116.152,8.63e-07
0.128339,116.285,0.132527
0.128339,116.285,8.63e-07
0.128393,116.484,0.198795
0.128393,116.484,8.63e-07
0.128446,116.682,0.198795
0.128482,116.698,0.015411
0.1285,116.71,0.012401
0.1285,116.71,1.2945e-06
0.128518,116.776,0.0662636
0.128518,116.776,8.63e-07
0.128571,116.975,0.198795
0.128571,116.975,8.63e-07
0.128625,117.174,0.198795
0.128732,117.22,0.0462322
0.12875,117.233,0.012401
0.12875,117.233,1.2945e-06
0.128768,117.299,0.0662636
0.128768,117.299,8.63e-07
0.128839,117.564,0.265062
0.128839,117.564,8.63e-07
0.128893,117.763,0.198795
0.128893,117.763,8.63e-07
0.128929,117.895,0.132527
0.128929,117.895,8.63e-07
0.128964,118.028,0.132527
0.128982,118.036,0.00770573
0.129,118.048,0.012401
0.129,118.048,1.2945e-06
0.129018,118.114,0.0662636
0.129018,118.114,8.63e-07
0.129054,118.247,0.132527
0.129054,118.247,8.63e-07
0.129089,118.379,0.132527
0.129089,118.379,8.63e-07
0.129107,118.445,0.0662599
0.129232,118.499,0.0539375
0.12925,118.512,0.012401
0.12925,118.512,1.2945e-06
0.129268,118.578,0.0662636
0.129268,118.578,8.63e-07
0.129304,118.711,0.132527
0.129304,118.711,8.63e-07
0.129357,118.909,0.198795
0.129357,118.909,8.63e-07
0.129411,119.108,0.198795
0.129411,119.108,8.63e-07
0.129446,119.241,0.132527
0.129482,119.256,0.015411
0.1295,119.269,0.012401
0.1295,119.269,1.2945e-06
0.129518,119.335,0.0662636
0.129518,119.335,8.63e-07
0.129536,119.401,0.0662599
0.129732,119.486,0.0847587
0.12975,119.498,0.012401
0.12975,119.498,1.2945e-06
0.129768,119.564,0.0662636
0.129768,119.565,8.63e-07
0.129821,119.763,0.198795
0.129821,119.763,8.63e-07
0.129875,119.962,0.198795
0.129875,119.962,8.63e-07
0.129911,120.095,0.132527
0.129911,120.095,8.63e-07
0.129946,120.227,0.132527
0.129982,120.243,0.015411
0.13,120.255,0.012401
0.13,120.255,1.2945e-06
0.130018,120.321,0.0662636
0.130232,120.414,0.092464
0.13025,120.426,0.012401
0.13025,120.426,1.2945e-06
0.130268,120.492,0.0662636
0.130268,120.492,8.63e-07
0.130304,120.625,0.132527
0.130304,120.625,8.63e-07
0.130339,120.757,0.132527
0.130339,120.757,8.63e-07
0.130393,120.956,0.198795
0.130393,120.956,8.63e-07
0.130446,121.155,0.198795
0.130482,121.17,0.015411
0.1305,121.183,0.012401
0.1305,121.183,1.2945e-06
0.130518,121.249,0.0662636
